Category	Name	Link	English content	French content	Image eng	Image fr	Contact
1	Semaine de la durabilité	https://semaine-durable.unipoly.ch/	Sustainability Week is the largest student sustainability project in Switzerland. It takes place every spring semester on the UNILEPFL campus. It aims to raise students' awareness of sustainability and ecological issues.	La Semaine de la Durabilité est le plus grand projet de durabilité étudiant.e en Suisse. Elle a lieu chaque semestre de printemps sur le campus UNILEPFL. Elle a pour but de sensibiliser les étudiant·e·x·s aux questions de durabilité et d’écologie	Semaine_de_la_durabilité transparent.png	Semaine_de_la_durabilité transparent.png	sd@unipoly.ch
1	CSAW (Climate & Sustainability Action Week)	https://www.epfl.ch/about/sustainability/sustainability-in-education/climate-and-sustainability-action-week-csaw/	CSAW is a non credited 1 week summer school cocreated by UNIL and EPFL students and staff. The school is open to Bachelor, Master and PhD students from UNIL and EPFL. It aims to empower students to become change agents by providing them with practices and tools for self-awareness, collaboration and system change.	La CSAW est une école d’été sur une semaine (non-créditée) co-créée par des étudiant·es et des collaborateur·rices de l’UNIL et de l’EPFL et ouverte aux étudiant·es Bachelor, Master et PhD de l’UNIL et de l’EPFL. La CSAW vise à donner des moyens d’agir aux étudiant·es à devenir des acteur·ices du changement en leur transmettant des pratiques et outils de connaissance de soi, de collaboration et de changements systémiques	Final CSAW_transparent.png	Final CSAW_transparent.png	csaw@epfl.ch
1	UNIL IMD EPFL sustainability portal	https://sustainabilityportal.ch/	The Sustainability Portal aims to foster collaboration and synergy among researchers, academicians, startups, and student associations across UNIL, IMD and EPFL. By creating a common ground for sharing sustainability projects, the portal seeks to facilitate efforts in addressing environmental and societal challenges at a systemic level.	Le Portail de Durabilité vise à favoriser la collaboration et la synergie entre les chercheurs, les universitaires, les start-ups et les associations étudiantes de l'UNIL, de l'IMD et de l'EPFL. En créant un terrain commun pour partager des projets de durabilité, le portail cherche à faciliter les efforts visant à relever les défis environnementaux et sociétaux à un niveau systémique.	sustainability portal.png	sustainability portal.png	
1	le canard huppé	https://journal.unipoly.ch/	Le Canard Huppé is a publication crafted by amateur journalists, offering individuals the chance to cultivate their talents in areas such as article writing, video production, podcast recording, and a multitude of other media forms. The core focus of this newspaper is an extensive array of environmental subjects, including politics, economics, technology, society, psychology, spirituality, and beyond.	Produit par des amateurices de journalisme, le journal permet, à toute personne qui le souhaite de s’essayer à la rédaction d’article, à la création de vidéos, à l’enregistrement de podcasts et tout autre medium. Les sujets de publication portent principalement sur les thématiques environnementales au sens large (politique, économique, technique, sociétal, psychologique, spirituelle, etc.)	le_canard_huppe_logo.png	le_canard_huppe_logo.png	journal@unipoly.ch
1	Coaching in Sustainability	https://people.epfl.ch/michka.melo	A team of coaches available to support students in acquiring the skills and networks necessary to work in the field of sustainability during their studies or after graduation."	Une équipe de coachs à disposition pour soutenir les étudiant·es dans l'acquisition des compétences et réseaux nécessaires pour travailler au service de la durabilité durant leurs études ou une fois diplômé·es.	Coaching sustainability.png	Coaching sustainability_fr.png	sustainability@epfl.ch
1	EPFL Courses	https://www.epfl.ch/about/sustainability/fr/durabilite-dans-leducation/programmes-detudes-cours-et-moocs/	EPFL offers over 150 sustainability-related classes at both Bachelor's and Master's level	L'EPFL propose plus de 150 cours liés à la durabilité, au niveau Bachelor et Master	epfl_course.png	epfl_course_fr.png	sustainability@epfl.ch
1	Fresque du numérique	https://www.epfl.ch/about/sustainability/fr/communaute-sensibilisation/fresques/	The fresks are fun, collaborative and creative 3 hours workshops meant to raise awareness about environmental issues, and based on collective intelligence. the workshop available are the Climate Fresk, Biodiversity Fresks and Digital Collage.	Les fresques sont des ateliers de 3h, ludiques, collaboratifs et créatifs pour sensibiliser aux enjeux environnementaux, basés sur l’intelligence collective et extrêmement pédagogiques. Les ateliers proposés sont la Fresque du Climat, de la Biodiversité et du Numérique	Fresque du numerique.png	Fresque du numerique.png	 louis.cousturian@epfl.ch
1	Fresque de la biodiversité	https://www.epfl.ch/about/sustainability/fr/communaute-sensibilisation/fresques/	The fresks are fun, collaborative and creative 3 hours workshops meant to raise awareness about environmental issues, and based on collective intelligence. the workshop available are the Climate Fresk, Biodiversity Fresks and Digital Collage.	Les fresques sont des ateliers de 3h, ludiques, collaboratifs et créatifs pour sensibiliser aux enjeux environnementaux, basés sur l’intelligence collective et extrêmement pédagogiques. Les ateliers proposés sont la Fresque du Climat, de la Biodiversité et du Numérique	Fresque de la biodiversite.png	Fresque de la biodiversite.png	 louis.cousturian@epfl.ch
1	Fresque du climat	https://www.epfl.ch/about/sustainability/fr/communaute-sensibilisation/fresques/	The fresks are fun, collaborative and creative 3 hours workshops meant to raise awareness about environmental issues, and based on collective intelligence. the workshop available are the Climate Fresk, Biodiversity Fresks and Digital Collage.	Les fresques sont des ateliers de 3h, ludiques, collaboratifs et créatifs pour sensibiliser aux enjeux environnementaux, basés sur l’intelligence collective et extrêmement pédagogiques. Les ateliers proposés sont la Fresque du Climat, de la Biodiversité et du Numérique	Fresque du climat.png	Fresque du climat.png	 louis.cousturian@epfl.ch
2	Sports Universitaires Lausanne	https://sport.unil.ch/	The Lausanne University Sports (SUL) offer a variety of physical activities and sports to members of the University and the Swiss Federal Institute of Technology in Lausanne (EPFL) community in the fantastic setting of the University Sports Center at Dorigny.	Les Sports Universitaires Lausanne (SUL) proposent des activités physiques variées et du sport aux membres de la communauté de l’Université et de l’École polytechnique fédérale de Lausanne dans le fantastique cadre du Centre sportif universitaire de Dorigny.	logo-centresports.png	logo-centresports.png	sports@unil.ch
2	Espace-Transitions	https://www.unil.ch/espace-transitions/fr/home.html	The Espace Transitions is a project established to welcome reflections and feelings on sustainability issues, and subsequently, to offer support in taking action to help you find a project that suits you and/or provide you with tools to realize your own. To this end, the team will be present to welcome you for a meal and discussion every Thursday from 12:15 PM to 1:45 PM at the Transitions Space.	L'espace transitions (ET) est un projet du Centre de compétences en durabilité de l'UNIL. Il vise à soutenir le développement de compétences émotionnelles en lien aux enjeux de durabilité. Pour cela, plusieurs activités sont proposées - des conférences et des ateliers, ainsi que des moments libres de partages. L'équipe répond aussi volontiers aux besoins de la communauté du campus sur ces questions, soutient les nouveaux projets et visibilise les projets déjà existants. Le local de l'ET se situe au local 046 du bâtiment du Vortex. Les activités sont relayées sur le compte instagram @espace.transitions. Vous pouvez aussi nous contacter à espace.transitions@unil.ch. Bienvenu·e·s !	logo ET Rond.png	logo ET Rond.png	espace.transitions@unil.ch
